path,model_name,label
./fake/en/tts_models_en_ljspeech_vits/the_master_key_08_f000059.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/silent_bullet_06_f000335.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/piratesofersatz_05_leinster_64kb_f000039.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/wives_and_daughters_21_f000106.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/wives_and_daughters_30_f000068.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/the_sea_fairies_14_f000050.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/piratesofersatz_03_leinster_64kb_f000178.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/the_master_key_11_f000067.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/rinkitink_baum_01_64kb_f000065.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/jane_eyre_37_f000241.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/silent_bullet_11_f000243.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/pink_fairy_book_26_f000020.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/wives_and_daughters_32_f000168.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/wives_and_daughters_20_f000138.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/pink_fairy_book_33_f000038.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/jane_eyre_34_f000030.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/wives_and_daughters_50_f000212.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/pink_fairy_book_36_f000125.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/northandsouth_40_f000258.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/wives_and_daughters_47_f000041.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/northandsouth_03_f000176.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/midnight_passenger_13_f000086.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/jane_eyre_23_f000097.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/rinkitink_baum_21_64kb_f000061.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/skyisland_19_baum_64kb_f000019.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/the_master_key_16_f000076.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/northandsouth_35_f000001.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/ozma_of_oz_17_f000018.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/wives_and_daughters_28_f000202.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/jane_eyre_15_f000003.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/hunters_space_11_f000026.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/northandsouth_44_f000172.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/jane_eyre_10_f000187.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/dorothy_and_wizard_oz_03_f000045.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/jane_eyre_24_f000127.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/pink_fairy_book_28_f000066.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/wives_and_daughters_28_f000100.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/northandsouth_16_f000010.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/the_sea_fairies_11_f000057.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/the_sea_fairies_12_f000098.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/poisoned_pen_01_f000281.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/skyisland_29_baum_64kb_f000030.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/wives_and_daughters_29_f000071.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/piratesofersatz_12_leinster_64kb_f000107.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/the_sea_fairies_07_f000076.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/emerald_city_of_oz_10_f000106.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/jane_eyre_27_f000168.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/emerald_city_of_oz_07_f000044.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/midnight_passenger_01_f000052.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/silent_bullet_02_f000266.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/piratesofersatz_06_leinster_64kb_f000152.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/the_master_key_14_f000015.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/hunters_space_07_f000081.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/wives_and_daughters_28_f000163.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/dorothy_and_wizard_oz_04_f000026.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/wives_and_daughters_20_f000029.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/wives_and_daughters_36_f000069.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/wives_and_daughters_20_f000062.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/pink_fairy_book_16_f000115.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits/northandsouth_15_f000215.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/northandsouth_38_f000180.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/jane_eyre_35_f000056.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/hunters_space_02_f000110.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/skyisland_14_baum_64kb_f000050.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/emerald_city_of_oz_02_f000008.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/skyisland_18_baum_64kb_f000023.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/silent_bullet_06_f000332.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/jane_eyre_26_f000011.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/silent_bullet_11_f000033.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/hunters_space_14_f000009.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits--neon/silent_bullet_09_f000105.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/the_master_key_04_f000119.wav,tts_models/en/ljspeech/vits,0
./fake/en/tts_models_en_ljspeech_vits--neon/midnight_passenger_10_f000178.wav,tts_models/en/ljspeech/vits--neon,1
./fake/en/tts_models_en_ljspeech_vits/midnight_passenger_04_f000127.wav,tts_models/en/ljspeech/vits,0
